Tintle,Abstract,Matched Search Term 1,Matched Search Term 2,Matched Search Term 4
" ""{DICE}: Data-Efficient Clinical Event Extraction with Generative Models"","," ""event extraction for the clinical domain is an under-explored research area. the lack of training data along with the high volume of domain-specific terminologies with vague entity boundaries makes the task especially challenging. in this paper, we introduce dice, a robust and data-efficient generative model for clinical event extraction. dice frames event extraction as a conditional generation problem and introduces a contrastive learning objective to accurately decide the boundaries of biomedical mentions. dice also trains an auxiliary mention identification task jointly with event extraction tasks to better identify entity mention boundaries, and further introduces special markers to incorporate identified entity mentions as trigger and argument candidates for their respective tasks. to benchmark clinical event extraction, we compose maccrobat-ee, the first clinical event extraction dataset with argument annotation, based on an existing clinical information extraction dataset maccrobat. our experiments demonstrate state-of-the-art performances of dice for clinical and news domain event extraction, especially under low data settings."",",clinical domain,generat,annotat
" ""{D}r{BERT}: A Robust Pre-trained Model in {F}rench for Biomedical and Clinical domains"","," ""in recent years, pre-trained language models (plms) achieve the best performance on a wide range of natural language processing (nlp) tasks. while the first models were trained on general domain data, specialized ones have emerged to more effectively treat specific domains. in this paper, we propose an original study of plms in the medical domain on french language. we compare, for the first time, the performance of plms trained on both public data from the web and private data from healthcare establishments. we also evaluate different learning strategies on a set of biomedical tasks. in particular, we show that we can take advantage of already existing biomedical plms in a foreign language by further pre-train it on our targeted data. finally, we release the first specialized plms for the biomedical field in french, called drbert, as well as the largest corpus of medical data under free license on which these models are trained."",",medical domain,natural language process,evalu
" ""Disease Network Constructor: a Pathway Extraction and Visualization"","," ""we present disease network constructor (dnc), a system that extracts and visualizes a disease network, in which nodes are entities such as diseases, proteins, and genes, and edges represent regulation relation. we focused on the disease network derived through regulation events found in scientific articles on idiopathic pulmonary fibrosis (ipf). the front-end web-base user interface of dnc includes two-dimensional (2d) and 3d visualizations of the constructed disease network. the back-end system of dnc includes several natural language processing (nlp) techniques to process biomedical text including bert-based tokenization on the basis of bidirectional encoder representations from transformers (bert), flat and nested named entity recognition (ner), candidate generation and candidate ranking for entity linking (el) or, relation extraction (re), and event extraction (ee) tasks. we evaluated the end-to-end el and end-to-end nested ee systems to determine the dnc{'}s back-endimplementation performance. to the best of our knowledge, this is the first attempt that addresses neural ner, el, re, and ee tasks in an end-to-end manner that constructs a path-way visualization from events, which we name disease network constructor. the demonstration video can be accessed from \url{https://youtu.be/rfhwwagcxe8}. we release an online system for end users and the source code is available at \url{https://github.com/aistairc/prism-apis/}."",",medical text,natural language process,evalu
" ""Findings of the {WMT} 2022 Biomedical Translation Shared Task: Monolingual Clinical Case Reports"","," ""in the seventh edition of the wmt biomedical task, we addressed a total of seven languagepairs, namely english/german, english/french, english/spanish, english/portuguese, english/chinese, english/russian, english/italian. this year{'}s test sets covered three types of biomedical text genre. in addition to scientific abstracts and terminology items used in previous editions, we released test sets of clinical cases. the evaluation of clinical cases translations were given special attention by involving clinicians in the preparation of reference translations and manual evaluation. for the main medline test sets, we received a total of 609 submissions from 37 teams. for the clinspen sub-task, we had the participation of five teams."",",medical text,translat,evalu
" ""Optum{'}s Submission to {WMT}22 Biomedical Translation Tasks"","," ""this paper describes optum{'}s submission to the biomedical translation task of the seventh conference on machine translation (wmt22). the task aims at promoting the development and evaluation of machine translation systems in their ability to handle challenging domain-specific biomedical data. we made submissions to two sub-tracks of clinspen 2022, namely, clinspen-cc (clinical cases) and clinspen-oc (ontology concepts). these sub-tasks aim to test translation from english to spanish. our approach involves fine-tuning a pre-trained transformer model using in-house clinical domain data and the biomedical data provided by wmt. the fine-tuned model results in a test bleu score of 38.12 in the clinspen-cc (clinical cases) subtask, which is a gain of 1.23 bleu compared to the pre-trained model."",",clinical domain,translat,challeng
" ""Leveraging knowledge graphs to update scientific word embeddings using latent semantic imputation"","," ""the most interesting words in scientific texts will often be novel or rare. this presents a challenge for scientific word embedding models to determine quality embedding vectors for useful terms that are infrequent or newly emerging. we demonstrate how latent semantic imputation (lsi) can address this problem by imputing embeddings for domain-specific words from up-to-date knowledge graphs while otherwise preserving the original word embedding model. we use the mesh knowledge graph to impute embedding vectors for biomedical terminology without retraining and evaluate the resulting embedding model on a domain-specific word-pair similarity task. we show that lsi can produce reliable embedding vectors for rare and out-of-vocabulary terms in the biomedical domain."",",medical domain,semant,challeng
" ""{NLP}-{CIC}-{WFU} at {S}ocial{D}is{NER}: Disease Mention Extraction in {S}panish Tweets Using Transfer Learning and Search by Propagation"","," ""named entity recognition (e.g., disease mention extraction) is one of the most relevant tasks for data mining in the medical field. although it is a well-known challenge, the bulk of the efforts to tackle this task have been made using clinical texts commonly written in english. in this work, we present our contribution to the socialdisner competition, which consists of a transfer learning approach to extracting disease mentions in a corpus from twitter written in spanish. we fine-tuned a model based on mbert and applied post-processing using regular expressions to propagate the entities identified by the model and enhance disease mention extraction. our system achieved a competitive strict f1 of 0.851 on the testing data set."",",clinical text,entity recognit,challeng
" ""{READ}-{B}io{M}ed@{S}ocial{D}is{NER}: Adaptation of an Annotation System to {S}panish Tweets"","," ""we describe the work of the read-biomed team for the preparation of a submission to the socialdisner disease named entity recognition (ner) task (task 10) in 2022. we had developed a system for named entity recognition for identifying biomedical concepts in english medline citations and spanish clinical text for the livingner 2022 challenge. minimal adaptation of our system was required to perform named entity recognition in the spanish tweets in the socialdisner task, given the availability of spanish pre-trained language models and the socialdisner training data. minor additions included treatment of emojis and entities in hashtags and twitter account names."",",clinical text,entity recognit,challeng
" ""{FRE} at {S}ocial{D}is{NER}: Joint Learning of Language Models for Named Entity Recognition"","," ""this paper describes our followed methodology for the automatic extraction of disease mentions from tweets in spanish as part of the socialdisner challenge within the 2022 social media mining for health applications (smm4h) shared task. we followed a joint learning ensemble architecture for the fine-tuning of top performing pre-trained language models in biomedical domain for named entity recognition tasks. we used text generation techniques to augment training data. during practice phase of the challenge our approach showed results of 0.87 f1-score."",",medical domain,generat,shared task
" ""{LED} down the rabbit hole: exploring the potential of global attention for biomedical multi-document summarisation"","," ""in this paper we report the experiments performed for the submission to the multidocument summarisation for literature review (mslr) shared task. in particular, we adopt primera model to the biomedical domain by placing global attention on important biomedical entities in several ways. we analyse the outputs of 23 resulting models and report some patterns related to the presence of additional global attention, number of training steps and the inputs configuration."",",medical domain,summar,shared task
" ""Abstractive Approaches To Multidocument Summarization Of Medical Literature Reviews"","," ""text summarization has been a trending domain of research in nlp in the past few decades. the medical domain is no exception to the same. medical documents often contain a lot of jargon pertaining to certain domains, and performing an abstractive summarization on the same remains a challenge. this paper presents a summary of the findings that we obtained based on the shared task of multidocument summarization for literature review (mslr). we stood fourth in the leaderboards for evaluation on the ms{\^{}}2 and cochrane datasets. we finetuned pre-trained models such as bart-large, distilbart and t5-base on both these datasets. these models{'} accuracy was later tested with a part of the same dataset using rouge scores as the evaluation metrics."",",medical domain,nlp,shared task
" ""An Extractive-Abstractive Approach for Multi-document Summarization of Scientific Articles for Literature Review"","," ""research in the biomedical domain is con- stantly challenged by its large amount of ever- evolving textual information. biomedical re- searchers are usually required to conduct a lit- erature review before any medical interven- tion to assess the effectiveness of the con- cerned research. however, the process is time- consuming, and therefore, automation to some extent would help reduce the accompanying information overload. multi-document sum- marization of scientific articles for literature reviews is one approximation of such automa- tion. here in this paper, we describe our pipelined approach for the aforementioned task. we design a bert-based extractive method followed by a bigbird pegasus-based ab- stractive pipeline for generating literature re- view summaries from the abstracts of biomedi- cal trial reports as part of the multi-document summarization for literature review (mslr) shared task1 in the scholarly document pro- cessing (sdp) workshop 20222. our proposed model achieves the best performance on the mslr-cochrane leaderboard3 on majority of the evaluation metrics. human scrutiny of our automatically generated summaries indicates that our approach is promising to yield readable multi-article summaries for conducting such lit- erature reviews."",",medical domain,generat,shared task
" ""{SCU}-{MESCL}ab at {ROCLING}-2022 Shared Task: Named Entity Recognition Using {BERT} Classifier"","," ""in this study, named entity recognition is constructed and applied in the medical domain. data is labeled in bio format. for example, {``}muscle{''} would be labeled {``}b-body{''} and {``}i-body{''}, and {``}cough{''} would be {``}b-symp{''} and {``}i-symp{''}. all words outside the category are marked with {``}o{''}. the chinese healthner corpus contains 30,692 sentences, of which 2531 sentences are divided into the validation set (dev) for this evaluation, and the conference finally provides another 3204 sentences for the test set (test). we use blstm{\_}crf, roberta+blstm{\_}crf and bert classifier to submit three prediction results respectively. finally, the bert classifier system submitted as run3 achieved the best prediction performance, with an accuracy of 80.18{\%}, a recall rate of 78.3{\%}, and an f1-score of 79.23."",",medical domain,entity recognit,evalu
" ""In-Domain Pre-Training Improves Clinical Note Generation from Doctor-Patient Conversations"","," ""summarization of doctor-patient conversations into clinical notes by medical scribes is an essential process for effective clinical care. pre-trained transformer models have shown a great amount of success in this area, but the domain shift from standard nlp tasks to the medical domain continues to present challenges. we build upon several recent works to show that additional pre-training with in-domain medical conversations leads to performance gains for clinical summarization. in addition to conventional evaluation metrics, we also explore a clinical named entity recognition model for concept-based evaluation. finally, we contrast long-sequence transformers with a common transformer model, bart. overall, our findings corroborate research in non-medical domains and suggest that in-domain pre-training combined with transformers for long sequences are effective strategies for summarizing clinical encounters."",",medical domain,nlp,challeng
" ""Sentence-Level Resampling for Named Entity Recognition"","," ""as a fundamental task in natural language processing, named entity recognition (ner) aims to locate and classify named entities in unstructured text. however, named entities are always the minority among all tokens in the text. this data imbalance problem presents a challenge to machine learning models as their learning objective is usually dominated by the majority of non-entity tokens. to alleviate data imbalance, we propose a set of sentence-level resampling methods where the importance of each training sentence is computed based on its tokens and entities. we study the generalizability of these resampling methods on a wide variety of ner models (crf, bi-lstm, and bert) across corpora from diverse domains (general, social, and medical texts). extensive experiments show that the proposed methods improve span-level macro f1-scores of the evaluated ner models on multiple corpora, frequently outperforming sub-sentence-level resampling, data augmentation, and special loss functions such as focal and dice loss."",",medical text,natural language process,challeng
" ""Conceptualizing Treatment Leakage in Text-based Causal Inference"","," ""causal inference methods that control for text-based confounders are becoming increasingly important in the social sciences and other disciplines where text is readily available. however, these methods rely on a critical assumption that there is no treatment leakage: that is, the text only contains information about the confounder and no information about treatment assignment. when this assumption does not hold, methods that control for text to adjust for confounders face the problem of post-treatment (collider) bias. however, the assumption that there is no treatment leakage may be unrealistic in real-world situations involving text, as human language is rich and flexible. language appearing in a public policy document or health records may refer to the future and the past simultaneously, and thereby reveal information about the treatment assignment. in this article, we define the treatment-leakage problem, and discuss the identification as well as the estimation challenges it raises. second, we delineate the conditions under which leakage can be addressed by removing the treatment-related signal from the text in a pre-processing step we define as text distillation. lastly, using simulation, we show how treatment leakage introduces a bias in estimates of the average treatment effect (ate) and how text distillation can mitigate this bias."",",health record,infer,challeng
" ""{KIMERA}: Injecting Domain Knowledge into Vacant Transformer Heads"","," ""training transformer language models requires vast amounts of text and computational resources. this drastically limits the usage of these models in niche domains for which they are not optimized, or where domain-specific training data is scarce. we focus here on the clinical domain because of its limited access to training data in common tasks, while structured ontological data is often readily available. recent observations in model compression of transformer models show optimization potential in improving the representation capacity of attention heads. we propose kimera (knowledge injection via mask enforced retraining of attention) for detecting, retraining and instilling attention heads with complementary structured domain knowledge. our novel multi-task training scheme effectively identifies and targets individual attention heads that are least useful for a given downstream task and optimizes their representation with information from structured data. kimera generalizes well, thereby building the basis for an efficient fine-tuning. kimera achieves significant performance boosts on seven datasets in the medical domain in information retrieval and clinical outcome prediction settings. we apply kimera to bert-base to evaluate the extent of the domain transfer and also improve on the already strong results of biobert in the clinical domain."",",clinical domain,information retriev,evalu
" ""A Named Entity Recognition Corpus for {V}ietnamese Biomedical Texts to Support Tuberculosis Treatment"","," ""named entity recognition (ner) is an important task in information extraction. however, due to the lack of labelled corpora, biomedical ner has scarcely been studied in vietnamese compared to english. to address this situation, we have constructed vietbioner, a labelled ner corpus of vietnamese academic biomedical text. the corpus focuses specifically on supporting tuberculosis surveillance, and was constructed by collecting scientific papers and grey literature related to tuberculosis symptoms and diagnostics. we manually annotated a small set of the collected documents with five categories of named entities: organisation, location, date and time, symptom and disease, and diagnostic procedure. inter-annotator agreement ranges from 70.59{\%} and 95.89{\%} f-score according to entity category. in this paper, we make available two splits of the corpus, corresponding to traditional supervised learning and few-shot learning settings. we also provide baseline results for both of these settings, in addition to a dictionary-based approach, as a means to stimulate further research into vietnamese biomedical ner. although supervised methods produce results that are far superior to the other two approaches, the fact that even one-shot learning can outperform the dictionary-based method provides evidence that further research into few-shot learning on this text type would be worthwhile."",",medical text,entity recognit,annotat
" ""A Cross-document Coreference Dataset for Longitudinal Tracking across Radiology Reports"","," ""this paper proposes a new cross-document coreference resolution (cdcr) dataset for identifying co-referring radiological findings and medical devices across a patient{'}s radiology reports. our annotated corpus contains 5872 mentions (findings and devices) spanning 638 mimic-iii radiology reports across 60 patients, covering multiple imaging modalities and anatomies. there are a total of 2292 mention chains. we describe the annotation process in detail, highlighting the complexities involved in creating a sizable and realistic dataset for radiology cdcr. we apply two baseline methods{--}string matching and transformer language models (bert){--}to identify cross-report coreferences. our results indicate the requirement of further model development targeting better understanding of domain language and context to address this challenging and unexplored task. this dataset can serve as a resource to develop more advanced natural language processing cdcr methods in the future. this is one of the first attempts focusing on cdcr in the clinical domain and holds potential in benefiting physicians and clinical research through long-term tracking of radiology findings."",",clinical domain,natural language process,annotat
" ""{CLISTER} : A Corpus for Semantic Textual Similarity in {F}rench Clinical Narratives"","," ""modern natural language processing relies on the availability of annotated corpora for training and evaluating models. such resources are scarce, especially for specialized domains in languages other than english. in particular, there are very few resources for semantic similarity in the clinical domain in french. this can be useful for many biomedical natural language processing applications, including text generation. we introduce a definition of similarity that is guided by clinical facts and apply it to the development of a new french corpus of 1,000 sentence pairs manually annotated according to similarity scores. this new sentence similarity corpus is made freely available to the community. we further evaluate the corpus through experiments of automatic similarity measurement. we show that a model of sentence embeddings can capture similarity with state-of-the-art performance on the deft sts shared task evaluation data set (spearman",clinical domain,natural language process,shared task
" ""Recovering Patient Journeys: A Corpus of Biomedical Entities and Relations on {T}witter ({BEAR})"","," ""text mining and information extraction for the medical domain has focused on scientific text generated by researchers. however, their access to individual patient experiences or patient-doctor interactions is limited. on social media, doctors, patients and their relatives also discuss medical information. individual information provided by laypeople complements the knowledge available in scientific text. it reflects the patient{'}s journey making the value of this type of data twofold: it offers direct access to people{'}s perspectives, and it might cover information that is not available elsewhere, including self-treatment or self-diagnose. named entity recognition and relation extraction are methods to structure information that is available in unstructured text. however, existing medical social media corpora focused on a comparably small set of entities and relations. in contrast, we provide rich annotation layers to model patients{'} experiences in detail. the corpus consists of medical tweets annotated with a fine-grained set of medical entities and relations between them, namely 14 entity (incl. environmental factors, diagnostics, biochemical processes, patients{'} quality-of-life descriptions, pathogens, medical conditions, and treatments) and 20 relation classes (incl. prevents, influences, interactions, causes). the dataset consists of 2,100 tweets with approx. 6,000 entities and 2,200 relations."",",medical domain,generat,annotat
" ""Hierarchical Annotation for Building A Suite of Clinical Natural Language Processing Tasks: Progress Note Understanding"","," ""applying methods in natural language processing on electronic health records (ehr) data has attracted rising interests. existing corpus and annotation focus on modeling textual features and relation prediction. however, there are a paucity of annotated corpus built to model clinical diagnostic thinking, a processing involving text understanding, domain knowledge abstraction and reasoning. in this work, we introduce a hierarchical annotation schema with three stages to address clinical text understanding, clinical reasoning and summarization. we create an annotated corpus based on a large collection of publicly available daily progress notes, a type of ehr that is time-sensitive, problem-oriented, and well-documented by the format of subjective, objective, assessment and plan (soap). we also define a new suite of tasks, progress note understanding, with three tasks utilizing the three annotation stages. this new suite aims at training and evaluating future nlp models for clinical text understanding, clinical knowledge representation, inference and summarization."",",electronic health record,natural language process,annotat
" ""{C}hi{MST}: A {C}hinese Medical Corpus for Word Segmentation and Medical Term Recognition"","," ""chinese word segmentation (cws) and named entity recognition (ner) are two important tasks in chinese natural language processing. to achieve good model performance on these tasks, existing neural approaches normally require a large amount of labeled training data, which is often unavailable for specific domains such as the chinese medical domain due to privacy and legal issues. to address this problem, we have developed a chinese medical corpus named chimst which consists of question-answer pairs collected from an online medical healthcare platform and is annotated with word boundary and medical term information. for word boundary, we mainly follow the word segmentation guidelines for the penn chinese treebank (xia, 2000); for medical terms, we define 9 categories and 18 sub-categories after consulting medical experts. to provide baselines on this corpus, we train existing state-of-the-art models on it and achieve good performance. we believe that the corpus and the baseline systems will be a valuable resource for cws and ner research on the medical domain."",",medical domain,natural language process,annotat
" ""{S}u{M}e: A Dataset Towards Summarizing Biomedical Mechanisms"","," ""can language models read biomedical texts and explain the biomedical mechanisms discussed? in this work we introduce a biomedical mechanism summarization task. biomedical studies often investigate the mechanisms behind how one entity (e.g., a protein or a chemical) affects another in a biological context. the abstracts of these publications often include a focused set of sentences that present relevant supporting statements regarding such relationships, associated experimental evidence, and a concluding sentence that summarizes the mechanism underlying the relationship. we leverage this structure and create a summarization task, where the input is a collection of sentences and the main entities in an abstract, and the output includes the relationship and a sentence that summarizes the mechanism. using a small amount of manually labeled mechanism sentences, we train a mechanism sentence classifier to filter a large biomedical abstract collection and create a summarization dataset with 22k instances. we also introduce conclusion sentence generation as a pretraining task with 611k instances. we benchmark the performance of large bio-domain language models. we find that while the pretraining task help improves performance, the best model produces acceptable mechanism outputs in only 32{\%} of the instances, which shows the task presents significant challenges in biomedical language understanding and summarization."",",medical text,generat,challeng
" ""Assessing the Limits of Straightforward Models for Nested Named Entity Recognition in {S}panish Clinical Narratives"","," ""nested named entity recognition (ner) is an information extraction task that aims to identify entities that may be nested within other entity mentions. despite the availability of several corpora with nested entities in the spanish clinical domain, most previous work has overlooked them due to the lack of models and a clear annotation scheme for dealing with the task. to fill this gap, this paper provides an empirical study of straightforward methods for tackling the nested ner task on two spanish clinical datasets, clinical trials, and the chilean waiting list. we assess the advantages and limitations of two sequence labeling approaches; one based on multiple lstm-crf architectures and another on joint labeling models. to better understand the differences between these models, we compute task-specific metrics that adequately measure the ability of models to detect nested entities and perform a fine-grained comparison across models. our experimental results show that employing domain-specific language models trained from scratch significantly improves the performance obtained with strong domain-specific and general-domain baselines, achieving state-of-the-art results in both datasets. specifically, we obtained f1 scores of 89.21 and 83.16 in clinical trials and the chilean waiting list, respectively. interestingly enough, we observe that the task-specific metrics and analysis properly reflect the limitations of the models when recognizing nested entities. finally, we perform a case study on an aggregated ner dataset created from several clinical corpora in spanish. we highlight how entity length and the simultaneous recognition of inner and outer entities are the most critical variables for the nested ner task."",",clinical domain,entity recognit,annotat
" ""Can Current Explainability Help Provide References in Clinical Notes to Support Humans Annotate Medical Codes?"","," ""the medical codes prediction problem from clinical notes has received substantial interest in the nlp community, and several recent studies have shown the state-of-the-art (sota) code prediction results of full-fledged deep learning-based methods. however, most previous sota works based on deep learning are still in early stages in terms of providing textual references and explanations of the predicted codes, despite the fact that this level of explainability of the prediction outcomes is critical to gaining trust from professional medical coders. this raises the important question of how well current explainability methods apply to advanced neural network models such as transformers to predict correct codes and present references in clinical notes that support code prediction. first, we present an explainable read, attend, and code (xrac) framework and assess two approaches, attention score-based xrac-attn and model-agnostic knowledge-distillation-based xrac-kd, through simplified but thorough human-grounded evaluations with sota transformer-based model, rac. we find that the supporting evidence text highlighted by xrac-attn is of higher quality than xrac-kd whereas xrac-kd has potential advantages in production deployment scenarios. more importantly, we show for the first time that, given the current state of explainability methodologies, using the sota medical codes prediction system still requires the expertise and competencies of professional coders, even though its prediction accuracy is superior to that of human coders. this, we believe, is a very meaningful step toward developing explainable and accurate machine learning systems for fully autonomous medical code prediction from clinical notes."",",clinical not,nlp,evalu
" ""Building a Clinically-Focused Problem List From Medical Notes"","," ""clinical notes often contain useful information not documented in structured data, but their unstructured nature can lead to critical patient-related information being missed. to increase the likelihood that this valuable information is utilized for patient care, algorithms that summarize notes into a problem list have been proposed. focused on identifying medically-relevant entities in the free-form text, these solutions are often detached from a canonical ontology and do not allow downstream use of the detected text-spans. mitigating these issues, we present here a system for generating a canonical problem list from medical notes, consisting of two major stages. at the first stage, annotation, we use a transformer model to detect all clinical conditions which are mentioned in a single note. these clinical conditions are then grounded to a predefined ontology, and are linked to spans in the text. at the second stage, summarization, we develop a novel algorithm that aggregates over the set of clinical conditions detected on all of the patient{'}s notes, and produce a concise patient summary that organizes their most important conditions."",",clinical not,generat,annotat
" ""{B}io{S}im{CSE}: {B}io{M}edical Sentence Embeddings using Contrastive learning"","," ""sentence embeddings in the form of fixed-size vectors that capture the information in the sentence as well as the context are critical components of natural language processing systems. with transformer model based sentence encoders outperforming the other sentence embedding methods in the general domain, we explore the transformer based architectures to generate dense sentence embeddings in the biomedical domain. in this work, we present biosimcse, where we train sentence embeddings with domain specific transformer based models with biomedical texts. we assess our model{'}s performance with zero-shot and fine-tuned settings on semantic textual similarity (sts) and recognizing question entailment (rqe) tasks. our biosimcse model using biolinkbert achieves state of the art (sota) performance on both tasks."",",medical domain,natural language process,assess
" ""Parameter Efficient Transfer Learning for Suicide Attempt and Ideation Detection"","," ""pre-trained language models (lms) have been deployed as the state-of-the-art natural language processing (nlp) approaches for multiple clinical applications. model generalisability is important in clinical domain due to the low available resources. in this study, we evaluated transfer learning techniques for an important clinical application: detecting suicide attempt (sa) and suicide ideation (si) in electronic health records (ehrs). using the annotation guideline provided by the authors of scan, we annotated two ehr datasets from different hospitals. we then fine-tuned scaner, a publicly available sa and si detection model, to evaluate five different parameter efficient transfer learning techniques, such as adapter-based learning and soft-prompt tuning, on the two datasets. without any fine-tuning, scaner achieve macro f1-scores of 0.85 and 0.87 for sa and si evidence detection across the two datasets. we observed that by fine-tuning less than {\textasciitilde}2{\%} of scaner{'}s parameters, we were able to further improve the macro f1-score for sa-si evidence detection by 3{\%} and 5{\%} for the two ehr datasets. our results show that parameter-efficient transfer learning methods can help improve the performance of publicly available clinical models on new hospital datasets with few annotations."",",electronic health record,natural language process,annotat
" ""Divide and Conquer: An Extreme Multi-Label Classification Approach for Coding Diseases and Procedures in {S}panish"","," ""clinical coding is the task of transforming medical documents into structured codes following a standard ontology. since these terminologies are composed of hundreds of codes, this problem can be considered an extreme multi-label classification task. this paper proposes a novel neural network-based architecture for clinical coding. first, we take full advantage of the hierarchical nature of ontologies to create clusters based on semantic relations. then, we use a matcher module to assign the probability of documents belonging to each cluster. finally, the ranker calculates the probability of each code considering only the documents in the cluster. this division allows a fine-grained differentiation within the cluster, which cannot be addressed using a single classifier. in addition, since most of the previous work has focused on solving this task in english, we conducted our experiments on three clinical coding corpora in spanish. the experimental results demonstrate the effectiveness of our model, achieving state-of-the-art results on two of the three datasets. specifically, we outperformed previous models on two subtasks of the codiesp shared task: codiesp-d (diseases) and codiesp-p (procedures). automatic coding can profoundly impact healthcare by structuring critical information written in free text in electronic health records."",",electronic health record,semant,shared task
" ""A Knowledge-Graph-Based Intrinsic Test for Benchmarking Medical Concept Embeddings and Pretrained Language Models"","," ""using language models created from large data sources has improved the performance of several deep learning-based architectures, obtaining state-of-the-art results in several nlp extrinsic tasks. however, little research is related to creating intrinsic tests that allow us to compare the quality of different language models when obtaining contextualized embeddings. this gap increases even more when working on specific domains in languages other than english. this paper proposes a novel graph-based intrinsic test that allows us to measure the quality of different language models in clinical and biomedical domains in spanish. our results show that our intrinsic test performs better for clinical and biomedical language models than a general one. also, it correlates with better outcomes for a ner task using a probing model over contextualized embeddings. we hope our work will help the clinical nlp research community to evaluate and compare new language models in other languages and find the most suitable models for solving downstream tasks."",",medical domain,nlp,evalu
" ""Augmented Bio-{SBERT}: Improving Performance for Pairwise Sentence Tasks in Bio-medical Domain"","," ""one of the modern challenges in ai is the access to high-quality and annotated data, especially in nlp; that is why augmentation is gaining importance. in computer vision, where image data augmentation is standard, text data augmentation in nlp is complex due to the high complexity of language. moreover, we have seen the advantages of augmentation where there are fewer data available, which can significantly improve the model{'}s accuracy and performance. we have implemented augmentation in pairwise sentence scoring in the biomedical domain. by experimenting with our approach to downstream tasks on biomedical data, we have looked into the solution to improve bi-encoders{'} sentence transformer performance using an augmented dataset generated by cross-encoders fine-tuned on biosses and mednli on the pre-trained bio-bert model. it has significantly improved the results with respect to the model only trained on gold data for the respective tasks."",",medical domain,nlp,annotat
" ""Cross-Clinic De-Identification of {S}wedish Electronic Health Records: Nuances and Caveats"","," ""privacy preservation of sensitive information is one of the main concerns in clinical text mining. due to the inherent privacy risks of handling clinical data, the clinical corpora used to create the clinical named entity recognition (ner) models underlying clinical de-identification systems cannot be shared. this situation implies that clinical ner models are trained and tested on data originating from the same institution since it is rarely possible to evaluate them on data belonging to a different organization. these restrictions on sharing make it very difficult to assess whether a clinical ner model has overfitted the data or if it has learned any undetected biases. this paper presents the results of the first-ever cross-institution evaluation of a swedish de-identification system on swedish clinical data. alongside the encouraging results, we discuss differences and similarities across ehr naming conventions and ner tagsets."",",clinical text,entity recognit,evalu
" ""Efficient Joint Learning for Clinical Named Entity Recognition and Relation Extraction Using {F}ourier Networks:A Use Case in Adverse Drug Events"","," ""current approaches for clinical information extraction are inefficient in terms of computational costs and memory consumption, hindering their application to process large-scale electronic health records (ehrs). we propose an efficient end-to-end model, the joint-ner-re-fourier (jnrf), to jointly learn the tasks of named entity recognition and relation extraction for documents of variable length. the architecture uses positional encoding and unitary batch sizes to process variable length documents and uses a weight-shared fourier network layer for low-complexity token mixing. finally, we reach the theoretical computational complexity lower bound for relation extraction using a selective pooling strategy and distance-aware attention weights with trainable polynomial distance functions. we evaluated the jnrf architecture using the 2018 n2c2 ade benchmark to jointly extract medication-related entities and relations in variable-length ehr summaries. jnrf outperforms rolling window bert with selective pooling by 0.42{\%}, while being twice as fast to train. compared to state-of-the-art bilstm-crf architectures on the n2c2 ade benchmark, results show that the proposed approach trains 22 times faster and reduces gpu memory consumption by 1.75 folds, with a reasonable performance tradeoff of 90{\%}, without the use of external tools, hand-crafted rules or post-processing. given the significant carbon footprint of deep learning models and the current energy crises, these methods could support efficient and cleaner information extraction in ehrs and other types of large-scale document databases."",",electronic health record,relation extract,benchmark
" ""Knowledge-Rich Self-Supervision for Biomedical Entity Linking"","," ""entity linking faces significant challenges such as prolific variations and prevalent ambiguities, especially in high-value domains with myriad entities. standard classification approaches suffer from the annotation bottleneck and cannot effectively handle unseen entities. zero-shot entity linking has emerged as a promising direction for generalizing to new entities, but it still requires example gold entity mentions during training and canonical descriptions for all entities, both of which are rarely available outside of wikipedia. in this paper, we explore knowledge-rich self-supervision (kriss) for biomedical entity linking, by leveraging readily available domain knowledge. in training, it generates self-supervised mention examples on unlabeled text using a domain ontology and trains a contextual encoder using contrastive learning. for inference, it samples self-supervised mentions as prototypes for each entity and conducts linking by mapping the test mention to the most similar prototype. our approach can easily incorporate entity descriptions and gold mention labels if available. we conducted extensive experiments on seven standard datasets spanning biomedical literature and clinical notes. without using any labeled information, our method produces krissbert, a universal entity linker for four million umls entities that attains new state of the art, outperforming prior self-supervised methods by as much as 20 absolute points in accuracy. we released krissbert at \url{https://aka.ms/krissbert}."",",clinical not,infer,annotat
" ""Knowledge Injected Prompt Based Fine-tuning for Multi-label Few-shot {ICD} Coding"","," ""automatic international classification of diseases (icd) coding aims to assign multiple icd codes to a medical note with average length of 3,000+ tokens. this task is challenging due to a high-dimensional space of multi-label assignment (tens of thousands of icd codes) and the long-tail challenge: only a few codes (common diseases) are frequently assigned while most codes (rare diseases) are infrequently assigned. this study addresses the long-tail challenge by adapting a prompt-based fine-tuning technique with label semantics, which has been shown to be effective under few-shot setting. to further enhance the performance in medical domain, we propose a knowledge-enhanced longformer by injecting three domain-specific knowledge: hierarchy, synonym, and abbreviation with additional pretraining using contrastive learning. experiments on mimic-iii-full, a benchmark dataset of code assignment, show that our proposed method outperforms previous state-of-the-art method in 14.5{\%} in marco f1 (from 10.3 to 11.8, p{\textless}0.001). to further test our model on few-shot setting, we created a new rare diseases coding dataset, mimic-iii-rare50, on which our model improves marco f1 from 17.1 to 30.4 and micro f1 from 17.2 to 32.6 compared to previous method."",",medical domain,semant,challeng
